Checked	Protein FDR Confidence: Combined	Master	Accession	Description	Exp. q-value: Combined	Contaminant	Sum PEP Score	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	# AAs	MW [kDa]	calc. pI	Score Sequest HT: Sequest HT	# Peptides (by Search Engine): Sequest HT	# Razor Peptides	Abundances (Normalized): F1: Sample	Abundances (Normalized): F2: Sample	Abundances (Normalized): F3: Sample	Abundances (Normalized): F4: Sample	Abundances (Normalized): F5: Sample	Abundances (Normalized): F6: Sample	Abundances (Normalized): F7: Sample	Abundances (Normalized): F8: Sample	Abundances (Normalized): F9: Sample	Abundances (Normalized): F10: Sample	Abundances (Normalized): F11: Sample	Abundances (Normalized): F12: Sample	Found in Sample: [S1] F1: Sample	Found in Sample: [S2] F2: Sample	Found in Sample: [S3] F3: Sample	Found in Sample: [S4] F4: Sample	Found in Sample: [S5] F5: Sample	Found in Sample: [S6] F6: Sample	Found in Sample: [S7] F7: Sample	Found in Sample: [S8] F8: Sample	Found in Sample: [S9] F9: Sample	Found in Sample: [S10] F10: Sample	Found in Sample: [S11] F11: Sample	Found in Sample: [S12] F12: Sample	# Protein Groups	Modifications
FALSE	High	Master Protein	Q99973	Telomerase protein component 1 OS=Homo sapiens OX=9606 GN=TEP1 PE=1 SV=2	0	FALSE	6.996	1	2	17	2	2627	290.3	7.97	6.35	2	0	208688.1676	214482.6952	193899.631	203504.1571	183368.4734	162454.1953	200829.5463	182207.1875	216471.3245	241818.3533	243460.9937	255423.5105	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q8WTW4	GATOR complex protein NPRL2 OS=Homo sapiens OX=9606 GN=NPRL2 PE=1 SV=2	0	FALSE	8.514	8	2	5	2	380	43.6	6.52	0	2	0	171797.0402	153977.0451	194030.1453	63518.97806	109238.2918	96649.63929	124801.18	75640.29688	129082.3515	170523.9411	180457.4656	161256.2327	High	High	High	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	High	Peak Found	1	
FALSE	High	Master Protein	Q8N5D0	WD and tetratricopeptide repeats protein 1 OS=Homo sapiens OX=9606 GN=WDTC1 PE=1 SV=2	0.003	FALSE	3.85	2	1	9	1	677	75.9	7.27	6.54	1	0	229895.3303	164784.1487	194062.2217	212606.6723	154017.5819	201857.4972	188016.5787	203557.6406		215056.2205	217289.9373	297296.5282	Peak Found	High	High	Peak Found	High	Peak Found	High	High	Not Found	High	High	High	1	
FALSE	High	Master Protein	Q15831	Serine/threonine-protein kinase STK11 OS=Homo sapiens OX=9606 GN=STK11 PE=1 SV=1	0	FALSE	10.241	5	1	26	1	433	48.6	7.43	38.3	1	0	181099.9053	250170.7072	194077.608	208465.3213	207289.1943	180203.7132	423038.1483	311074.0625	356331.5317	223630.7729	229162.4249	209750.1958	High	High	Peak Found	High	High	High	High	High	High	High	High	High	1	
FALSE	Medium	Master Protein	P51798	H(+)/Cl(-) exchange transporter 7 OS=Homo sapiens OX=9606 GN=CLCN7 PE=1 SV=2	0.02	FALSE	2.362	1	1	6	1	805	88.6	8.43	4.01	1	0	187071.5342	178511.8139	194195.2896	363075.2554	231927.6583	274693.7684	456715.44	318762.6875	246165.1106	333342.1852	231276.0642	231217.1619	High	Peak Found	Peak Found	Peak Found	High	Peak Found	Peak Found	High	High	High	High	Peak Found	1	
FALSE	High	Master Protein	Q15582	Transforming growth factor-beta-induced protein ig-h3 OS=Homo sapiens OX=9606 GN=TGFBI PE=1 SV=1	0.009	FALSE	2.73	1	1	11	1	683	74.6	7.71	5.79	1	0	231220.2332	216033.7646	194566.3498	754717.1676	720129.2651	721723.0264	202487.1895	263913.8438	161221.3097	145284.4693	189900.6453	162586.3066	Peak Found	Peak Found	Peak Found	High	High	High	Peak Found	High	Peak Found	Peak Found	Peak Found	Peak Found	1	
FALSE	High	Master Protein	Q96DT7	Zinc finger and BTB domain-containing protein 10 OS=Homo sapiens OX=9606 GN=ZBTB10 PE=1 SV=2	0	FALSE	8.51	2	1	23	1	871	94.8	5.16	25.87	1	0	195261.3198	173719.599	194714.2868	162693.9634	143258.7992	141570.1638	216907.1195	143018.7813	124964.9557	121573.0413	111780.6833	154377.3415	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q03393	6-pyruvoyl tetrahydrobiopterin synthase OS=Homo sapiens OX=9606 GN=PTS PE=1 SV=1	0.005	FALSE	3.118	6	1	1	1	145	16.4	6.68	1.66	1	0	189314.5473	260278.2668	194757.0841	194119.7605	344650.3153	462361.0512	274277.481	328508	269794.8342	448160.827	448496.57	428038.0003	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	High	Peak Found	Peak Found	Peak Found	Peak Found	1	
FALSE	High	Master Protein	Q9UK73	Protein fem-1 homolog B OS=Homo sapiens OX=9606 GN=FEM1B PE=1 SV=1	0.008	FALSE	2.845	1	1	3	1	627	70.2	6.61	0	1	0	242934.4284	280404.387	195105.6035	226564.6407	212371.0554		114792.3658	112800.3984	138768.3195	88874.21374	47240.38666	52979.45208	Peak Found	Peak Found	Peak Found	Peak Found	High	Not Found	High	High	Peak Found	Peak Found	Peak Found	Peak Found	1	
FALSE	High	Master Protein	Q14135	Transcription cofactor vestigial-like protein 4 OS=Homo sapiens OX=9606 GN=VGLL4 PE=1 SV=4	0	FALSE	7.973	7	1	24	1	290	30.9	8.22	47.82	1	0	198215.9597	232522.8701	195178.2683	272738.4414	247359.6665	203383.901	320066.1842	201852.4219	350170.3263	280949.8214	279092.0492	502891.0534	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q96DC7	Transmembrane and coiled-coil domain-containing protein 6 OS=Homo sapiens OX=9606 GN=TMCO6 PE=1 SV=2	0.007	FALSE	2.855	2	1	2	1	493	54.4	5.81	3.85	1	0		230452.0393	195392.1682		137707.1074	149317.1312	200553.4958	211853.3438	318487.4504	230997.0903	217676.3289	217405.644	Not Found	High	High	Not Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	1	
FALSE	High	Master Protein	Q8IXQ3	Uncharacterized protein C9orf40 OS=Homo sapiens OX=9606 GN=C9orf40 PE=1 SV=1	0	FALSE	12.648	15	1	1	1	194	21.1	5.01	4.57	1	0	338416.9219	409050.165	195620.0538	335826.5143	366743.9853	388151.1306	245331.4674		216594.5435	113657.6076	138600.7586		Peak Found	Peak Found	Peak Found	Peak Found	High	Peak Found	Peak Found	Not Found	Peak Found	Peak Found	Peak Found	Not Found	1	
FALSE	High	Master Protein	Q66LE6	Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B delta isoform OS=Homo sapiens OX=9606 GN=PPP2R2D PE=1 SV=1	0	FALSE	32.219	15	5	55	1	453	52	6.39	94.66	5	0	195647.9069		196742.4143	173228.6307	224663.7856	205717.5677	282966.8911	233655.75	225110.2376	184352.2901	156383.6105	157873.866	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q5BJF6	Outer dense fiber protein 2 OS=Homo sapiens OX=9606 GN=ODF2 PE=1 SV=1	0	FALSE	9.304	4	2	2	2	829	95.3	7.62	2.21	2	0	279514.3153	201240.6083	196974.4158	92243.51026	117029.7701	60406.00067							High	High	Peak Found	Peak Found	Peak Found	Peak Found	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	1	
FALSE	High	Master Protein	P57768	Sorting nexin-16 OS=Homo sapiens OX=9606 GN=SNX16 PE=1 SV=2	0	FALSE	13.924	11	2	25	2	344	39.1	4.65	31.04	2	0	134343.0548	96966.46655	197337.1686	193945.2434	175112.5551	162401.6678	231933.5276	137463.4844	215005.4365	226120.9294	229212.5349	111000.3153	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q2VPB7	AP-5 complex subunit beta-1 OS=Homo sapiens OX=9606 GN=AP5B1 PE=1 SV=4	0.001	FALSE	6.08	2	1	18	1	878	93.9	5.92	26.88	1	0	168952.7942	205470.9232	197538.4514	285028.9179	245079.5121	189337.7431	144672.5108	148520.9688	188256.0811	176847.0171	191889.9866	104316.1249	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q8WVN8	Ubiquitin-conjugating enzyme E2 Q2 OS=Homo sapiens OX=9606 GN=UBE2Q2 PE=1 SV=1	0	FALSE	9.931	7	2	49	1	375	42.8	4.96	7.67	2	0	218121.9772	206744.6029	197893.5865	163007.746	157847.5591	191811.5262	235694.6188	196846.3906	204421.6577	219648.1821	250577.5545	249336.9166	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q9H1D9	DNA-directed RNA polymerase III subunit RPC6 OS=Homo sapiens OX=9606 GN=POLR3F PE=1 SV=1	0.002	FALSE	4.352	3	1	13	1	316	35.7	6.11	25.82	1	0	228274.6378	213234.8015	198034.4338	180535.098	170077.8035	146774.0756	215543.2071	184642.7969	194748.0677	115793.7188	138556.5775	122775.3753	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q9NQ89	Protein C12orf4 OS=Homo sapiens OX=9606 GN=C12orf4 PE=1 SV=1	0	FALSE	6.244	6	2	12	2	552	63.8	6.37	0	2	0	648185.6063	188773.1493	198342.0307	165324.277	331439.5208	418536.5186	516381.9036	488418.2969	523517.7685	484464.7689	352553.6833	187491.0358	High	High	High	High	High	High	High	High	High	Peak Found	High	High	1	
FALSE	High	Master Protein	O95644	Nuclear factor of activated T-cells, cytoplasmic 1 OS=Homo sapiens OX=9606 GN=NFATC1 PE=1 SV=3	0	FALSE	8.836	3	2	5	2	943	101.2	6.99	6.57	2	0	89164.88957	86625.09547	198435.7763	146234.4586	155486.5398	212304.4836	209205.1536	100573.1172	309401.0775	304780.3855	348638.6178	387746.5134	Peak Found	Peak Found	High	Peak Found	High	High	High	Peak Found	Peak Found	High	Peak Found	Peak Found	1	
FALSE	High	Master Protein	Q9P219	Protein Daple OS=Homo sapiens OX=9606 GN=CCDC88C PE=1 SV=3	0.007	FALSE	2.893	1	1	2	1	2028	228.1	6.23	0	1	0	135198.7276	211678.9051	198498.2859	149037.1166	61982.394	84326.01433	134682.4548						Peak Found	Peak Found	High	High	Peak Found	Peak Found	Peak Found	Not Found	Not Found	Not Found	Not Found	Not Found	1	
FALSE	High	Master Protein	Q9Y4A0	Jerky protein homolog-like OS=Homo sapiens OX=9606 GN=JRKL PE=2 SV=2	0	FALSE	7.931	3	1	27	1	524	59.9	8.09	46.05	1	0	188872.9718	176777.1711	198516.2797	184783.2325	155060.7726	155918.1276	177167.7357	152067.7813	157524.1265	124658.1219	123903.397	123382.903	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	O75427	Leucine-rich repeat and calponin homology domain-containing protein 4 OS=Homo sapiens OX=9606 GN=LRCH4 PE=1 SV=2	0	FALSE	11.629	5	2	19	2	683	73.4	8.22	31.37	2	0	216425.2887	194983.8758	198642.2551	180711.2434	190355.4366	204277.8808	200737.5414	190580.6133	185723.1297	221706.8709	205780.0255	245871.8984	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q9UBP4	Dickkopf-related protein 3 OS=Homo sapiens OX=9606 GN=DKK3 PE=1 SV=2	0	FALSE	9.658	7	1	3	1	350	38.4	4.65	9.45	1	0	276352.2459		199291.1552	333887.6238	262823.4079	360362.4075	228839.0726		207263.3336	840115.464	795139.4028	767228.5534	Peak Found	Not Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Not Found	Peak Found	High	High	High	1	
FALSE	High	Master Protein	P07199	Major centromere autoantigen B OS=Homo sapiens OX=9606 GN=CENPB PE=1 SV=2	0.005	FALSE	3.186	2	1	3	1	599	65.1	4.55	0	1	0	152440.3462		199529.4922	198823.901			97607.66489	132386.9531	135420.3633	119450.8097		161782.0987	Peak Found	Not Found	Peak Found	Peak Found	Not Found	Not Found	Peak Found	Peak Found	High	High	Not Found	High	1	
FALSE	High	Master Protein	Q9NQG6	Mitochondrial dynamics protein MID51 OS=Homo sapiens OX=9606 GN=MIEF1 PE=1 SV=1	0.001	FALSE	5.336	4	1	33	1	463	51.3	7.64	44.12	1	0	178523.4976	175384.5512	199622.9522	212313.9987	200424.673	217636.4229	157340.7351	177924.9531	169284.3066	166746.759	172253.4443	182838.9401	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q92738	USP6 N-terminal-like protein OS=Homo sapiens OX=9606 GN=USP6NL PE=1 SV=3	0.001	FALSE	6.038	2	1	8	1	828	94	9.07	0	1	0	177359.6953	217144.0334	200181.9668	177052.7933	146292.1645	156418.4067	221231.4186	126788.9609	241648.1707	245349.9106	237238.483	219884.6538	High	High	High	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	High	High	1	
FALSE	High	Master Protein	Q96MV1	TLC domain-containing protein 4 OS=Homo sapiens OX=9606 GN=TLCD4 PE=1 SV=1	0.008	FALSE	2.837	3	1	11	1	263	30	9.33	6.86	1	0	166636.0142	255375.7678	200447.6716	299201.8026	326204.1212	313581.252	226645.7574	286483.9688	241997.8064	201485.9134	228603.3885	182296.9896	High	High	High	High	High	High	High	High	High	Peak Found	High	High	1	
FALSE	High	Master Protein	O00124	UBX domain-containing protein 8 OS=Homo sapiens OX=9606 GN=UBXN8 PE=1 SV=2	0.007	FALSE	2.868	3	1	7	1	270	30.5	7.78	5.18	1	0	160548.0099	162397.8778	200579.619	81563.03689	135926.6843	101541.1768	200667.9865	141781.3906	163714.5591	94732.86408	112169.9536		High	Peak Found	High	Peak Found	Peak Found	Peak Found	High	High	High	Peak Found	Peak Found	Not Found	1	
FALSE	High	Master Protein	Q9NVW2	E3 ubiquitin-protein ligase RLIM OS=Homo sapiens OX=9606 GN=RLIM PE=1 SV=3	0.004	FALSE	3.37	2	1	6	1	624	68.5	7.56	0	1	0	174496.7831	161156.9417	200612.1371	111020.1598	110118.0704	124686.2063	151294.0521	142921.9375	181099.5175	145862.9667	145391.4945	193306.534	High	High	High	Peak Found	High	Peak Found	Peak Found	High	Peak Found	Peak Found	High	Peak Found	1	
FALSE	High	Master Protein	Q9UKB1	F-box/WD repeat-containing protein 11 OS=Homo sapiens OX=9606 GN=FBXW11 PE=1 SV=1	0	FALSE	13.232	10	3	19	3	542	62.1	7.12	25.33	3	0	225869.7704	209527.1558	201008.1515	216218.8931	148814.1566	141155.2184	157216.2863	137260.0469	169791.5577	126529.3261	82888.28051	119363.4902	High	High	High	High	High	High	High	High	High	Peak Found	High	High	1	
FALSE	High	Master Protein	P53804	E3 ubiquitin-protein ligase TTC3 OS=Homo sapiens OX=9606 GN=TTC3 PE=1 SV=2	0	FALSE	8.128	2	2	15	2	2025	229.7	7.52	2.1	2	0	186449.7428	189157.6898	201654.1505	181471.5196	190685.4014	139488.6551	182488.7201	150962.2188	226090.2583	134937.4248	119165.717	101894.2349	High	High	High	High	High	Peak Found	High	High	High	Peak Found	Peak Found	Peak Found	1	
FALSE	High	Master Protein	P12110	Collagen alpha-2(VI) chain OS=Homo sapiens OX=9606 GN=COL6A2 PE=1 SV=4	0.004	FALSE	3.645	2	1	2	1	1019	108.5	6.21	2.41	1	0	206996.2179	84138.66484	202204.5991	65186.60261	71435.85461	119923.517	102967.0296	53486.95703	51310.94122	179510.6342	190236.7458	193434.2634	High	Peak Found	High	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	1	
FALSE	High	Master Protein	Q2T9J0	Peroxisomal leader peptide-processing protease OS=Homo sapiens OX=9606 GN=TYSND1 PE=1 SV=3	0	FALSE	6.735	3	1	18	1	566	59.3	6.2	31.34	1	0	249952.6181	217399.7444	202558.1827	260902.5222	257429.3416	257811.178	268683.755	259124.4375	241830.3294	276001.4466	347614.6075	368547.7202	High	High	Peak Found	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q9NZN5	Rho guanine nucleotide exchange factor 12 OS=Homo sapiens OX=9606 GN=ARHGEF12 PE=1 SV=1	0	FALSE	12.046	4	4	4	4	1544	173.1	5.74	2.46	4	0	369389.1438	309400.4896	203044.5271	342496.1998	407824.052	350015.2363	372976.2522	193199.207	446586.2002	219494.4067	330917.8673	150926.0929	High	High	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	1	
FALSE	Medium	Master Protein	Q8IUH3	RNA-binding protein 45 OS=Homo sapiens OX=9606 GN=RBM45 PE=1 SV=1	0.043	FALSE	2.04	1	1	1	1	476	53.5	7.17	0	1	0	231134.9842	241681.5756	203588.6132	244400.8104	202470.6821	189533.4282	247554.9951	242720.4219	215625.4319	138135.1419	158847.2194	217199.3596	High	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	1	
FALSE	High	Master Protein	O94827	Pleckstrin homology domain-containing family G member 5 OS=Homo sapiens OX=9606 GN=PLEKHG5 PE=1 SV=4	0	FALSE	13.981	5	3	39	3	1006	111.2	6.02	8.7	3	0	533357.4757	596414.2314	203641.9643	478282.3789	790478.9841	704435.7281	321893.546	521020.4922	458748.656	384734.6279	298196.8549	388883.7754	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	O94967	WD repeat-containing protein 47 OS=Homo sapiens OX=9606 GN=WDR47 PE=1 SV=1	0.008	FALSE	2.843	2	1	5	1	919	101.9	5.94	0	1	0	240580.829	198669.9292	203677.8711	194592.8505	192811.372	184079.8666	144817.2408		161371.1584	260814.6939	200627.0741	259888.0053	High	High	High	Peak Found	Peak Found	Peak Found	High	Not Found	Peak Found	Peak Found	Peak Found	Peak Found	1	
FALSE	High	Master Protein	Q9NQY0	Bridging integrator 3 OS=Homo sapiens OX=9606 GN=BIN3 PE=1 SV=1	0	FALSE	7.196	11	2	9	2	253	29.6	7.47	2.52	2	0	264846.7471	310556.2943	204064.5977			262560.8416	408145.1672	411613.7188	187031.4534	188718.1778	267019.2358	283279.8663	Peak Found	High	High	Not Found	Not Found	High	High	High	Peak Found	High	High	Peak Found	1	
FALSE	Low	Master Protein	P51957	Serine/threonine-protein kinase Nek4 OS=Homo sapiens OX=9606 GN=NEK4 PE=1 SV=2	0.055	FALSE	1.928	1	1	2	1	841	94.5	7.9	0	1	0	247467.0881	206927.898	204294.2719	167880.5708	230020.2847	179242.7809	223543.1435	247184.75	233681.746	178630.0781	200939.6876		Peak Found	Peak Found	Peak Found	Peak Found	High	Peak Found	High	Peak Found	Peak Found	Peak Found	Peak Found	Not Found	1	
FALSE	Medium	Master Protein	Q15120	[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 3, mitochondrial OS=Homo sapiens OX=9606 GN=PDK3 PE=1 SV=1	0.029	FALSE	2.197	2	1	2	1	406	46.9	8.37	0	1	0	186058.425	233092.908	204400.0582	244491.8811	236893.2556	192531.5931	240913.6981	229171.5469	137107.124	248784.1014	167582.2766	200696.8848	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	High	High	Peak Found	Peak Found	Peak Found	1	
FALSE	Medium	Master Protein	Q6IPR1	Electron transfer flavoprotein regulatory factor 1 OS=Homo sapiens OX=9606 GN=ETFRF1 PE=1 SV=2	0.017	FALSE	2.434	8	1	8	1	90	10.9	9.92	1.92	1	0	199852.1593	212700.4821	204671.7968	202710.9484	180068.1798	198461.3309	121386.2954	124642.5234	110355.6567	363330.5829	367258.9661	309995.0055	High	Peak Found	High	High	High	High	Peak Found	Peak Found	Peak Found	High	High	Peak Found	1	
FALSE	High	Master Protein	Q49AN0	Cryptochrome-2 OS=Homo sapiens OX=9606 GN=CRY2 PE=1 SV=2	0	FALSE	11.592	4	2	20	2	593	66.9	8.35	8.98	2	0	209816.7622	341881.9806	205011.5025	230533.0502	161393.0204	241509.8513	261641.7228	222690.7031	199552.2802	413670.3221	395263.1237	522400.9083	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q75T13	GPI inositol-deacylase OS=Homo sapiens OX=9606 GN=PGAP1 PE=1 SV=1	0	FALSE	7.822	3	2	9	2	922	105.3	9.01	10.75	2	0	237508.0898	236775.9913	205365.8834	278998.3474	212720.3932	207173.7008	184541.3135	176708.6406	182906.4932	256620.456	214654.9943		High	High	High	High	High	High	Peak Found	Peak Found	Peak Found	Peak Found	High	Not Found	1	
FALSE	High	Master Protein	P48307	Tissue factor pathway inhibitor 2 OS=Homo sapiens OX=9606 GN=TFPI2 PE=1 SV=1	0	FALSE	8.688	9	1	4	1	235	26.9	8.53	13.81	1	0	112184.635	96347.70669	206507.3799	973811.5332	899020.2479	703131.2434				166229.7002	186714.1534	173762.2037	Peak Found	Peak Found	Peak Found	High	High	High	Not Found	Not Found	Not Found	Peak Found	Peak Found	Peak Found	1	
FALSE	High	Master Protein	Q9UKS7	Zinc finger protein Helios OS=Homo sapiens OX=9606 GN=IKZF2 PE=1 SV=2	0	FALSE	10.386	5	2	23	2	526	59.5	6.77	15.64	2	0	557810.7379	487428.5965	206820.4504	109804.2287	72666.27891	100732.2454	164956.8329	189947.8906	227923.1803	621241.1787	665765.3651	455906.7013	High	High	High	High	High	High	High	High	Peak Found	High	High	High	1	
FALSE	High	Master Protein	Q8WWB7	Glycosylated lysosomal membrane protein OS=Homo sapiens OX=9606 GN=GLMP PE=1 SV=1	0	FALSE	18.86	11	2	13	2	406	43.8	6.58	39.85	2	0	1816139.425	1572255.992	207543.1331	1872879.137	2888159.496	2649238.923	1733024.004	334237.125	447539.8551	2162955.817	2130720.802	2146510.582	Peak Found	High	Peak Found	High	High	High	High	High	Peak Found	High	High	High	1	
FALSE	High	Master Protein	Q96C45	Serine/threonine-protein kinase ULK4 OS=Homo sapiens OX=9606 GN=ULK4 PE=1 SV=2	0	FALSE	6.57	3	2	5	2	1275	142.4	6.29	0	2	0	209727.1835	294321.4314	207569.9191	910870.2172	172710.8623	1090606.164	1086058.037	258955.375	251506.2017		218349.7882	243147.714	High	Peak Found	High	High	High	Peak Found	Peak Found	Peak Found	Peak Found	Not Found	High	Peak Found	1	
FALSE	High	Master Protein	P19021	Peptidyl-glycine alpha-amidating monooxygenase OS=Homo sapiens OX=9606 GN=PAM PE=1 SV=2	0.002	FALSE	4.482	2	2	7	2	973	108.3	6.42	0	2	0	212776.8785	203690.0681	207631.0334	178686.5815	146035.4927	157853.9437	177441.644	133602.1719	187502.409	214601.1872	225808.9027	239863.6701	High	High	Peak Found	Peak Found	High	Peak Found	Peak Found	Peak Found	High	Peak Found	Peak Found	High	1	
FALSE	High	Master Protein	Q9HBI1	Beta-parvin OS=Homo sapiens OX=9606 GN=PARVB PE=1 SV=1	0	FALSE	6.524	6	2	17	1	364	41.7	6.73	16.12	2	0	269245.3434	293628.1732	207708.3529	329418.1485	361882.4163	269962.6204	224747.763	185218.2969	183195.288	116957.4693	163506.8437	144936.2297	Peak Found	High	Peak Found	Peak Found	High	Peak Found	High	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	1	
FALSE	High	Master Protein	Q8TAA5	GrpE protein homolog 2, mitochondrial OS=Homo sapiens OX=9606 GN=GRPEL2 PE=1 SV=1	0.005	FALSE	3.206	5	1	5	1	225	25.4	7.72	0	1	0	197925.9753	224931.7689	208211.4466	180697.5126	115817.6648	101674.7158	181885.8671	174714.8125	223063.7411	104625.4549	142147.5815	127537.2053	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	High	High	Peak Found	High	High	Peak Found	1	
FALSE	High	Master Protein	Q8TAD4	Zinc transporter 5 OS=Homo sapiens OX=9606 GN=SLC30A5 PE=1 SV=1	0.004	FALSE	3.491	1	1	14	1	765	84	7.31	24.43	1	0	176442.1304	169533.083	208514.6259	185879.4094	174522.9327	240166.7743	245841.1442	201394.0781	209352.0357	142237.3662	131396.6268	134799.4223	High	High	High	High	High	High	High	High	High	High	High	Peak Found	1	
FALSE	High	Master Protein	Q969V6	Myocardin-related transcription factor A OS=Homo sapiens OX=9606 GN=MRTFA PE=1 SV=1	0	FALSE	11.268	6	3	22	3	931	98.9	5.86	6.74	3	0	205023.3764	198762.6899	208535.3996	204705.6192	219541.3845	188457.2787	301326.4621	255052.5078	260019.1791	238478.2456	225735.3342	292068.7038	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	Low	Master Protein	Q92966	snRNA-activating protein complex subunit 3 OS=Homo sapiens OX=9606 GN=SNAPC3 PE=1 SV=1	0.055	FALSE	1.926	2	1	2	1	411	46.7	5.27	0	1	0			209189.6628	189856.09		158849.7329	135762.2781	123769.6328	156590.5951	110905.499	111802.6356	159903.9212	Not Found	Not Found	Peak Found	Peak Found	Not Found	Peak Found	High	Peak Found	Peak Found	Peak Found	Peak Found	High	1	
FALSE	High	Master Protein	Q9HCM4	Band 4.1-like protein 5 OS=Homo sapiens OX=9606 GN=EPB41L5 PE=1 SV=3	0.001	FALSE	5.291	2	1	11	1	733	81.8	6.58	9.14	1	0	144795.49	180530.0169	209493.2085	296120.0167	234652.4926	262972.902	285852.0136		155290.1062	192635.2606	152658.519		High	High	High	High	High	High	High	Not Found	High	Peak Found	Peak Found	Not Found	1	
FALSE	Medium	Master Protein	Q9Y2Y0	ADP-ribosylation factor-like protein 2-binding protein OS=Homo sapiens OX=9606 GN=ARL2BP PE=1 SV=1	0.016	FALSE	2.443	6	1	2	1	163	18.8	4.35	0	1	0	228028.2882		209503.0781	361102.1746	266455.0345	327508.0698	206903.9434	169697.0625	297791.4615	228861.2377	206424.1689		Peak Found	Not Found	Peak Found	Peak Found	High	Peak Found	High	Peak Found	Peak Found	Peak Found	Peak Found	Not Found	1	
FALSE	High	Master Protein	P11488	Guanine nucleotide-binding protein G(t) subunit alpha-1 OS=Homo sapiens OX=9606 GN=GNAT1 PE=1 SV=5	0	FALSE	14.037	10	3	113	1	350	40	5.62	110.69	3	0	255789.975	258998.1861	209907.6692	538260.5684	381474.0395	411735.3158	326598.7445	291419.5	255758.6666	289883.2148	182533.5962	180097.9483	Peak Found	Peak Found	High	High	High	High	Peak Found	High	Peak Found	High	Peak Found	Peak Found	1	
FALSE	High	Master Protein	Q92844	TRAF family member-associated NF-kappa-B activator OS=Homo sapiens OX=9606 GN=TANK PE=1 SV=2	0	FALSE	11.393	4	1	6	1	425	47.8	5.68	21.66	1	0	237054.1102		210294.5467	299905.1348	240133.8944	286150.9799	337313.3945	287514.4688		256999.7333	247042.723	344057.0399	Peak Found	Not Found	Peak Found	Peak Found	High	High	Peak Found	High	Not Found	High	High	High	1	
FALSE	Medium	Master Protein	Q96PZ2	Serine protease FAM111A OS=Homo sapiens OX=9606 GN=FAM111A PE=1 SV=2	0.02	FALSE	2.361	2	1	3	1	611	70.2	8.53	3.42	1	0	288691.9209	235945.113	210394.0837	189886.41	159105.3457	174865.9932	232564.7851	223945.3594	198385.5021	245205.1643	242139.3924	200922.4637	High	High	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	High	Peak Found	Peak Found	1	
FALSE	High	Master Protein	Q5NDL2	EGF domain-specific O-linked N-acetylglucosamine transferase OS=Homo sapiens OX=9606 GN=EOGT PE=1 SV=1	0	FALSE	8.814	4	1	13	1	527	62	7.05	40.67	1	0	139963.8495	228640.3359	210429.2955	194523.9393	236891.724	261236.1727	144776.2151	134058.6719	229323.3242	245619.8223	207789.9036	192600.5372	High	High	High	High	High	High	High	High	High	High	High	High	1	
