"Master"	"Accession"	"Description"	"Exp..q.value..Combined"	"Contaminant"	"Sum.PEP.Score"	"Coverage...."	"X..Peptides"	"X..PSMs"	"X..Unique.Peptides"	"X..AAs"	"MW..kDa."	"calc..pI"	"Score.Sequest.HT..Sequest.HT"	"X..Peptides..by.Search.Engine...Sequest.HT"	"X..Razor.Peptides"	"Abundances..Normalized...F1..Sample"	"Abundances..Normalized...F2..Sample"	"Abundances..Normalized...F3..Sample"	"Abundances..Normalized...F4..Sample"	"Abundances..Normalized...F5..Sample"	"Abundances..Normalized...F6..Sample"	"Abundances..Normalized...F7..Sample"	"Abundances..Normalized...F8..Sample"	"Abundances..Normalized...F9..Sample"	"Abundances..Normalized...F10..Sample"	"Abundances..Normalized...F11..Sample"	"Abundances..Normalized...F12..Sample"
"IsMasterProtein"	"P08195"	"4F2 cell-surface antigen heavy chain OS=Homo sapiens OX=9606 GN=SLC3A2 PE=1 SV=3"	0	"FALSE"	139.8	35	20	710	20	630	68	5.01	1766.83	20	0	145424144	212257920	164035904	139626240	166546096	121475552	241248016	155495872	177396960	122914448	127634232	125760152
"IsMasterProtein"	"P53618"	"Coatomer subunit beta OS=Homo sapiens OX=9606 GN=COPB1 PE=1 SV=3"	0	"FALSE"	143.451	29	20	276	20	953	107.1	6.05	590.23	20	0	41411268	50966508	49510292	20982306	19036922	20721200	24239562	29746592	32371030	34652176	33281718	38113908
"IsMasterProtein"	"Q8NBJ4"	"Golgi membrane protein 1 OS=Homo sapiens OX=9606 GN=GOLM1 PE=1 SV=1"	0	"FALSE"	138.327	46	20	588	20	401	45.3	4.97	1515.2	20	0	227591440	205874512	181507568	710694400	692804224	681217408	291488896	185829616	196401312	495144512	421916672	569914112
"IsMasterProtein"	"P07195"	"L-lactate dehydrogenase B chain OS=Homo sapiens OX=9606 GN=LDHB PE=1 SV=2"	0	"FALSE"	169.485	52	20	2090	18	334	36.6	6.05	4297.7	20	2	1605047168	1595738752	1645409664	1296294528	1375442816	1312907392	755728064	765235968	891177024	954139584	899419968	1112777728
"IsMasterProtein"	"Q15147"	"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-4 OS=Homo sapiens OX=9606 GN=PLCB4 PE=1 SV=3"	0	"FALSE"	99.16	21	20	182	20	1175	134.4	6.9	241.8	20	0	34931164	44022244	40123240	6325828	6585083	6863943.5	7278558	10075355	11089754	7224460	7396157.5	8712054
"IsMasterProtein"	"P22626"	"Heterogeneous nuclear ribonucleoproteins A2/B1 OS=Homo sapiens OX=9606 GN=HNRNPA2B1 PE=1 SV=2"	0	"FALSE"	162.704	59	20	870	17	353	37.4	8.95	1882.73	20	3	335269920	516142208	442082400	253032864	222291840	292858016	162540048	176873600	219794144	183350992	232544272	177350896
"IsMasterProtein"	"P19021"	"Peptidyl-glycine alpha-amidating monooxygenase OS=Homo sapiens OX=9606 GN=PAM PE=1 SV=2"	0	"FALSE"	106.391	24	20	323	20	973	108.3	6.42	639.81	20	0	76918384	77696104	65228812	68239096	66253104	72164512	61906716	58469360	61187984	104133000	106037256	93019752
"IsMasterProtein"	"Q1A7A4"	"TREMBL:Q1A7A4 (Bos taurus) similar to complement component C5"	0	"TRUE"	108.414	16	20	246	20	1677	188.6	6.65	418.96	20	0	17414324	9126917	34502168	9304351	8555700	10046442	11869208	105689872	6951015.5	22569096	77129008	32328566
"IsMasterProtein"	"P09493"	"Tropomyosin alpha-1 chain OS=Homo sapiens OX=9606 GN=TPM1 PE=1 SV=2"	0	"FALSE"	129.82	49	20	577	5	284	32.7	4.74	1283.48	20	2	86957576	96965208	77584712	102401120	97568560	75254448	38658252	23022884	30940476	39316684	36685716	49758672
"IsMasterProtein"	"P12956"	"X-ray repair cross-complementing protein 6 OS=Homo sapiens OX=9606 GN=XRCC6 PE=1 SV=2"	0	"FALSE"	115.075	34	20	364	20	609	69.8	6.64	801.23	20	0	44715884	69965824	57001024	49001784	52803084	45902928	24751126	27316124	31869728	39265900	37672408	38309320
"IsMasterProtein"	"O60568"	"Multifunctional procollagen lysine hydroxylase and glycosyltransferase LH3 OS=Homo sapiens OX=9606 GN=PLOD3 PE=1 SV=1"	0	"FALSE"	99.888	35	20	324	20	738	84.7	6.05	501.18	20	0	81231184	109367592	88791976	94254104	101989824	79531416	76583880	64908520	65044156	75265488	65800876	68434680
"IsMasterProtein"	"Q12913"	"Receptor-type tyrosine-protein phosphatase eta OS=Homo sapiens OX=9606 GN=PTPRJ PE=1 SV=3"	0	"FALSE"	136.247	21	20	531	19	1337	145.9	5.58	1439.08	20	1	173363808	148428288	137999056	137514448	128989304	145180880	117247176	119118480	117550192	81668864	77106832	83074368
"IsMasterProtein"	"P51858"	"Hepatoma-derived growth factor OS=Homo sapiens OX=9606 GN=HDGF PE=1 SV=1"	0	"FALSE"	172.21	73	20	2905	20	240	26.8	4.73	7524.82	20	0	528557824	720485440	675302464	700289664	684607488	714514496	442081536	317822048	393075552	442187168	397117888	502796800
"IsMasterProtein"	"Q12860"	"Contactin-1 OS=Homo sapiens OX=9606 GN=CNTN1 PE=1 SV=1"	0	"FALSE"	112.693	27	20	219	20	1018	113.2	5.9	394.82	20	0	9998935	8974607	9414692	41554120	36824864	40609392	4119649	3449314	2553700.5	59014232	54426076	61027036
"IsMasterProtein"	"Q9H4A4"	"Aminopeptidase B OS=Homo sapiens OX=9606 GN=RNPEP PE=1 SV=2"	0	"FALSE"	108.055	36	20	355	20	650	72.5	5.74	695.16	20	0	40108812	48060068	46847636	48989732	50539080	43434564	37518984	38285032	42958344	34033852	33335458	34940536
"IsMasterProtein"	"Q15075"	"Early endosome antigen 1 OS=Homo sapiens OX=9606 GN=EEA1 PE=1 SV=2"	0	"FALSE"	92.269	18	20	104	20	1411	162.4	5.68	140.77	20	0	5516149.5	5300582.5	3802406.75	16610093	17455288	13982850	3798540	1098277.875	1716536.5	6879567	4885971.5	7780827
"IsMasterProtein"	"P10809"	"60 kDa heat shock protein, mitochondrial OS=Homo sapiens OX=9606 GN=HSPD1 PE=1 SV=2"	0	"FALSE"	126.554	47	20	541	20	573	61	5.87	1205.1	20	0	171152016	224765392	164187280	148158000	211700544	125930608	137183696	117173624	119617760	132157600	123654336	113407352
"IsMasterProtein"	"Q3SX14"	"TREMBL:Q3SX14 (Bos taurus) Similar to Gelsolin"	0	"TRUE"	99.856	30	20	439	6	781	85.6	6.21	1047.81	20	0	10218651	8882517	21366790	18019280	19504534	16725984	10808032	13686851	6940330.5	17158914	19936966	21451160
"IsMasterProtein"	"P00751"	"Complement factor B OS=Homo sapiens OX=9606 GN=CFB PE=1 SV=2"	0	"FALSE"	112.179	28	20	346	20	764	85.5	7.06	813.53	20	0	438084832	425943296	506495136	146667568	169322288	132425704	202513568	236751392	213980096	226973360	188498544	194732032
"IsMasterProtein"	"P52848"	"Bifunctional heparan sulfate N-deacetylase/N-sulfotransferase 1 OS=Homo sapiens OX=9606 GN=NDST1 PE=1 SV=1"	0	"FALSE"	91.729	26	20	363	19	882	100.8	7.97	597.39	20	1	27268974	34823820	26561874	47470464	50826360	39956396	14764764	12036380	12193583	43166548	36687368	35359924
"IsMasterProtein"	"Q14118"	"Dystroglycan 1 OS=Homo sapiens OX=9606 GN=DAG1 PE=1 SV=2"	0	"FALSE"	201.606	30	20	1015	20	895	97.4	8.56	2629.35	20	0	256888000	230983504	218842976	273862688	271115840	251614128	667617792	547190336	547256256	334507392	305874528	276337440
"IsMasterProtein"	"Q13435"	"Splicing factor 3B subunit 2 OS=Homo sapiens OX=9606 GN=SF3B2 PE=1 SV=2"	0	"FALSE"	110.804	26	20	389	20	895	100.2	5.67	462.55	20	0	75901856	69365416	70059248	64205076	47780800	76018904	44960756	25815274	35802820	41972352	62054028	51994812
"IsMasterProtein"	"O14672"	"Disintegrin and metalloproteinase domain-containing protein 10 OS=Homo sapiens OX=9606 GN=ADAM10 PE=1 SV=1"	0	"FALSE"	138.047	38	20	845	20	748	84.1	7.77	2123.35	20	0	156268128	145391968	133402696	111929176	122289232	112187416	197146736	189338960	169851712	132911320	119549496	118671824
"IsMasterProtein"	"P10909"	"Clusterin OS=Homo sapiens OX=9606 GN=CLU PE=1 SV=1"	0	"FALSE"	192.101	43	20	2240	20	449	52.5	6.27	4294.49	20	0	1392582784	1689348096	1482831744	3269114368	3208961024	2781448960	2737044224	2714232832	2292321024	1734979584	1511643008	1615963776
"IsMasterProtein"	"P06753"	"Tropomyosin alpha-3 chain OS=Homo sapiens OX=9606 GN=TPM3 PE=1 SV=2"	0	"FALSE"	128.016	49	20	579	5	285	32.9	4.72	1224.31	20	9	113508808	123994168	117436088	191990304	194625712	158051504	82182552	57275000	76640232	83444488	77399840	93743536
"IsMasterProtein"	"Q92563"	"Testican-2 OS=Homo sapiens OX=9606 GN=SPOCK2 PE=1 SV=1"	0	"FALSE"	160.041	49	20	2050	20	424	46.7	4.83	4356.59	20	0	2132514816	1565117440	1501388032	1578935808	1537966976	1309566464	2549115904	2424617472	2136259584	2211134464	2117367936	2308122112
"IsMasterProtein"	"P07339"	"Cathepsin D OS=Homo sapiens OX=9606 GN=CTSD PE=1 SV=1"	0	"FALSE"	166.453	54	20	1826	20	412	44.5	6.54	3659.34	20	0	705365824	719788224	618871360	709659200	724459712	605069312	742312320	768460544	685076224	1101804288	928015808	888565248
"IsMasterProtein"	"Q08380"	"Galectin-3-binding protein OS=Homo sapiens OX=9606 GN=LGALS3BP PE=1 SV=1"	0	"FALSE"	161.187	36	20	2670	20	585	65.3	5.27	6777.43	20	0	2073988608	2128966272	2018583168	3379554560	4661529600	3793971456	2390407680	1981147520	2229104640	3485487616	3968632576	3624950528
"IsMasterProtein"	"P26641"	"Elongation factor 1-gamma OS=Homo sapiens OX=9606 GN=EEF1G PE=1 SV=3"	0	"FALSE"	118.067	46	19	865	19	437	50.1	6.67	1656.5	19	0	183714384	224786464	197027232	116779456	124313568	130273808	125729320	145720720	150713296	174147664	161041152	172495728
"IsMasterProtein"	"P08670"	"Vimentin OS=Homo sapiens OX=9606 GN=VIM PE=1 SV=4"	0	"FALSE"	71.029	42	19	148	17	466	53.6	5.12	247.68	19	0	34529180	50818348	41899352	39611552	37125668	34868164	10464268	6519992.5	8308361	21062104	20267974	20415916
"IsMasterProtein"	"P07858"	"Cathepsin B OS=Homo sapiens OX=9606 GN=CTSB PE=1 SV=3"	0	"FALSE"	270.026	53	19	8444	19	339	37.8	6.3	20492.25	19	0	10245927936	10315889664	10213252096	7487288320	8008090112	7082753536	10382680064	10679593984	11466546176	11469566976	10295470080	10148784128
"IsMasterProtein"	"Q04637"	"Eukaryotic translation initiation factor 4 gamma 1 OS=Homo sapiens OX=9606 GN=EIF4G1 PE=1 SV=4"	0	"FALSE"	89.011	13	19	309	18	1599	175.4	5.33	466.2	19	1	92331816	109467272	93963040	87194904	76422056	67207312	77270616	93083136	97358864	67742000	58432896	61613296
"IsMasterProtein"	"P50895"	"Basal cell adhesion molecule OS=Homo sapiens OX=9606 GN=BCAM PE=1 SV=2"	0	"FALSE"	178.36	40	19	981	19	628	67.4	5.81	2169.61	19	0	377510592	337014688	393253472	405297120	360911776	389234080	588422272	600028672	447588672	389492384	449974304	404810336
"IsMasterProtein"	"P35221"	"Catenin alpha-1 OS=Homo sapiens OX=9606 GN=CTNNA1 PE=1 SV=1"	0	"FALSE"	78.187	24	19	150	13	906	100	6.29	263.15	19	6	18330922	190721328	21805258	31832738	149878768	117975544	17252654	14986146	16271987	13624683	16658321	14076718
"IsMasterProtein"	"O60763"	"General vesicular transport factor p115 OS=Homo sapiens OX=9606 GN=USO1 PE=1 SV=2"	0	"FALSE"	110.365	25	19	279	19	962	107.8	4.91	580.9	19	0	46300664	54062808	47219632	77825752	71332832	61799012	42070296	48056652	41925016	108349304	112455288	98503200
"IsMasterProtein"	"P01009"	"Alpha-1-antitrypsin OS=Homo sapiens OX=9606 GN=SERPINA1 PE=1 SV=3"	0	"FALSE"	145.354	49	19	1153	19	418	46.7	5.59	2676.45	19	0	229263344	289904256	230929088	579360128	586963904	379295936	1116437376	788284352	783643392	325989664	278940768	271447840
"IsMasterProtein"	"Q14112"	"Nidogen-2 OS=Homo sapiens OX=9606 GN=NID2 PE=1 SV=3"	0	"FALSE"	110.536	19	19	363	18	1375	151.2	5.29	939.65	19	1	147050480	152176400	142725056	64132476	62847332	57785944	55649016	67495800	65539716	60055260	58260312	53575428
"IsMasterProtein"	"P60842"	"Eukaryotic initiation factor 4A-I OS=Homo sapiens OX=9606 GN=EIF4A1 PE=1 SV=1"	0	"FALSE"	108.247	49	19	392	9	406	46.1	5.48	779.11	19	12	74466976	80351904	87540224	77212352	75636224	63830020	55336068	62447912	65294124	47348564	47571428	47590648
"IsMasterProtein"	"Q12841"	"Follistatin-related protein 1 OS=Homo sapiens OX=9606 GN=FSTL1 PE=1 SV=1"	0	"FALSE"	124.126	59	19	1076	19	308	35	5.52	2101.89	19	0	4587204608	4926388224	4418272768	4975181824	4263325696	4559727616	2888965120	1781035520	1856480128	3210617344	2574850560	3289142528
"IsMasterProtein"	"P00352"	"Aldehyde dehydrogenase 1A1 OS=Homo sapiens OX=9606 GN=ALDH1A1 PE=1 SV=2"	0	"FALSE"	106.498	40	19	328	19	501	54.8	6.73	562.31	19	0	115964328	125416016	122288368	86796240	73189664	78646072	44499652	40717508	38046540	52155676	42062852	57521748
"IsMasterProtein"	"P54136"	"Arginine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=RARS1 PE=1 SV=2"	0	"FALSE"	100.472	36	19	347	19	660	75.3	6.68	607.15	19	0	44224476	48829612	42335004	41146336	36232836	39763200	25318038	27901742	31409978	51662984	48328568	48402820
"IsMasterProtein"	"P00338"	"L-lactate dehydrogenase A chain OS=Homo sapiens OX=9606 GN=LDHA PE=1 SV=2"	0	"FALSE"	148.168	61	19	2270	17	332	36.7	8.27	4689.85	19	0	598111296	594714048	643868480	850045056	827187264	740822272	520546624	443944576	501696224	370615904	369367392	419023008
"IsMasterProtein"	"P29144"	"Tripeptidyl-peptidase 2 OS=Homo sapiens OX=9606 GN=TPP2 PE=1 SV=4"	0	"FALSE"	87.72	20	19	154	19	1249	138.3	6.32	315.07	19	0	40739432	39871568	51820156	20784666	23598178	21863180	23282490	29705168	33238064	33757272	32167062	41299304
"IsMasterProtein"	"Q8WUM4"	"Programmed cell death 6-interacting protein OS=Homo sapiens OX=9606 GN=PDCD6IP PE=1 SV=1"	0	"FALSE"	75.322	24	19	221	19	868	96	6.52	285.43	19	0	25876684	28314846	29409778	37689008	41660016	31606526	27528006	25603986	24856326	20821072	20949780	21787396
"IsMasterProtein"	"O60245"	"Protocadherin-7 OS=Homo sapiens OX=9606 GN=PCDH7 PE=1 SV=2"	0	"FALSE"	113.193	25	19	217	19	1069	116	5.19	479.73	19	0	17178120	18679054	17618062	26595374	22811276	25745740	30382644	28772962	30244224	11998702	10724993	11426643
"IsMasterProtein"	"P06756"	"Integrin alpha-V OS=Homo sapiens OX=9606 GN=ITGAV PE=1 SV=2"	0	"FALSE"	103.687	19	19	388	19	1048	116	5.68	1041.33	19	0	92221488	102032112	79698328	61420384	70773968	63527296	86980384	86897768	91617648	62667840	77606808	66961324
"IsMasterProtein"	"Q7L576"	"Cytoplasmic FMR1-interacting protein 1 OS=Homo sapiens OX=9606 GN=CYFIP1 PE=1 SV=1"	0	"FALSE"	65.398	17	19	196	12	1253	145.1	6.9	230.4	19	7	17597608	22048328	20085116	9321626	9628724	10582830	15558739	13703273	14577478	15469697	21076952	17552826
"IsMasterProtein"	"Q9Y4K0"	"Lysyl oxidase homolog 2 OS=Homo sapiens OX=9606 GN=LOXL2 PE=1 SV=1"	0	"FALSE"	126.187	31	19	621	19	774	86.7	6.38	1171.75	19	0	571668224	480305376	472424512	256104160	247913296	231179696	376335776	334167808	286877504	356482816	307544608	335057056
"IsMasterProtein"	"P38646"	"Stress-70 protein, mitochondrial OS=Homo sapiens OX=9606 GN=HSPA9 PE=1 SV=2"	0	"FALSE"	90.012	34	19	275	18	679	73.6	6.16	448.1	19	0	23832572	29627112	25337564	22336344	26240848	23405418	21326644	19697772	24521556	17311648	11183628	13455147
"IsMasterProtein"	"P11940"	"Polyadenylate-binding protein 1 OS=Homo sapiens OX=9606 GN=PABPC1 PE=1 SV=2"	0	"FALSE"	102.277	35	19	400	15	636	70.6	9.5	697.23	19	5	70860648	88123984	76892568	54398004	73345648	73167344	50334508	62219668	70034688	41020464	50877512	39102568
"IsMasterProtein"	"P52209"	"6-phosphogluconate dehydrogenase, decarboxylating OS=Homo sapiens OX=9606 GN=PGD PE=1 SV=3"	0	"FALSE"	116.653	43	19	680	19	483	53.1	7.23	1274.17	19	0	249358144	265043232	248161760	239177968	256798688	201358704	123325496	126665776	145934704	138718272	132402904	147866256
"IsMasterProtein"	"Q14315"	"Filamin-C OS=Homo sapiens OX=9606 GN=FLNC PE=1 SV=3"	0	"FALSE"	83.268	9	19	438	7	2725	290.8	5.97	861.52	19	0	20519112	28892008	27751924	63257484	38631164	43456320	48757488	44376752	46282500	49848964	42758712	52566876
"IsMasterProtein"	"P54578"	"Ubiquitin carboxyl-terminal hydrolase 14 OS=Homo sapiens OX=9606 GN=USP14 PE=1 SV=3"	0	"FALSE"	98	39	18	492	18	494	56	5.3	832.5	18	0	63163068	83735072	72228440	62390540	70860672	55592884	50094316	66578120	66008820	56305576	58861344	59103908
"IsMasterProtein"	"O60911"	"Cathepsin L2 OS=Homo sapiens OX=9606 GN=CTSV PE=1 SV=2"	0	"FALSE"	217.882	72	18	3828	18	334	37.3	8.76	11423.92	18	0	1027276288	874611392	919888960	865097792	905982720	896878528	2117631872	1883387008	1714337792	2326230784	2362460928	2026619776
"IsMasterProtein"	"P13010"	"X-ray repair cross-complementing protein 5 OS=Homo sapiens OX=9606 GN=XRCC5 PE=1 SV=3"	0	"FALSE"	116.047	31	18	340	18	732	82.7	5.81	645.38	18	0	47997868	64168968	59738848	40938860	42315732	44115148	23715876	22484446	27978542	38999896	43454440	43549736
"IsMasterProtein"	"P08621"	"U1 small nuclear ribonucleoprotein 70 kDa OS=Homo sapiens OX=9606 GN=SNRNP70 PE=1 SV=2"	0	"FALSE"	104.3	34	18	852	18	437	51.5	9.94	1817.51	18	0	243875200	271691232	286892160	173173904	185494064	282379872	202846288	190789232	201829616	194376704	251106288	215575632
"IsMasterProtein"	"P27816"	"Microtubule-associated protein 4 OS=Homo sapiens OX=9606 GN=MAP4 PE=1 SV=3"	0	"FALSE"	102.983	20	18	319	18	1152	120.9	5.43	627.3	18	0	91553760	84572704	74739536	65905140	66249560	61657172	22266120	13868647	19235454	40394296	46942448	48443420
"IsMasterProtein"	"P16870"	"Carboxypeptidase E OS=Homo sapiens OX=9606 GN=CPE PE=1 SV=1"	0	"FALSE"	103.985	47	18	574	18	476	53.1	5.14	1459.28	18	0	75549592	106944616	75938296	110169464	114898368	86616136	85996488	82469784	81962064	89323336	79510448	65474208
"IsMasterProtein"	"P33176"	"Kinesin-1 heavy chain OS=Homo sapiens OX=9606 GN=KIF5B PE=1 SV=1"	0	"FALSE"	84.097	23	18	216	12	963	109.6	6.51	414.95	18	6	24773918	29998924	24972216	14222383	17298846	14764831	9559030	9893411	11042178	12917136	14688791	19895300
"IsMasterProtein"	"Q13200"	"26S proteasome non-ATPase regulatory subunit 2 OS=Homo sapiens OX=9606 GN=PSMD2 PE=1 SV=3"	0	"FALSE"	98.438	27	18	257	18	908	100.1	5.2	467.68	18	0	20536764	30719670	27641194	24912400	25305806	21145716	17101164	19511612	22942862	21285002	20482914	22347448
"IsMasterProtein"	"Q92900"	"Regulator of nonsense transcripts 1 OS=Homo sapiens OX=9606 GN=UPF1 PE=1 SV=2"	0	"FALSE"	96.206	22	18	150	18	1129	124.3	6.61	232.03	18	0	16415968	19870982	18167426	6600035	6686255.5	7516822	5870608.5	8870136	8943625	7170562	9254436	9007569
"IsMasterProtein"	"P17174"	"Aspartate aminotransferase, cytoplasmic OS=Homo sapiens OX=9606 GN=GOT1 PE=1 SV=3"	0	"FALSE"	118.06	59	18	540	18	413	46.2	7.01	1249.97	18	0	160932528	163432144	152119936	151831488	164094864	143552016	88569408	94045960	110609064	90718512	90145576	97488104
"IsMasterProtein"	"P60712"	"SWISS-PROT:P60712 (Bos taurus) Actin, cytoplasmic 1"	0	"TRUE"	183.64	54	18	2267	8	375	41.7	5.48	4351.23	18	15	1281176320	1555402112	1415005312	1352085120	1290215680	1107430400	732264832	731569152	855552064	892844544	1038965120	964343104
"IsMasterProtein"	"Q9P258"	"Protein RCC2 OS=Homo sapiens OX=9606 GN=RCC2 PE=1 SV=2"	0	"FALSE"	88.703	42	18	373	18	522	56	8.78	678.72	18	0	167205680	157462800	161892128	94978520	95724152	130530928	83593296	91681888	94273128	70759184	87765264	81054608
"IsMasterProtein"	"P12429"	"Annexin A3 OS=Homo sapiens OX=9606 GN=ANXA3 PE=1 SV=3"	0	"FALSE"	96.803	57	18	313	18	323	36.4	5.92	608.2	18	0	78537592	106524368	75210256	69494488	60889460	53999076	42929412	47490172	54642824	35593988	40935440	36478720
"IsMasterProtein"	"Q24JP5"	"Transmembrane protein 132A OS=Homo sapiens OX=9606 GN=TMEM132A PE=1 SV=1"	0	"FALSE"	132.123	23	18	521	18	1023	110	5.62	896.64	18	0	55590936	52467884	46212716	80836776	94357032	79394768	72419128	75066264	79063456	110183016	89747360	96636056
"IsMasterProtein"	"Q08431"	"Lactadherin OS=Homo sapiens OX=9606 GN=MFGE8 PE=1 SV=3"	0	"FALSE"	185.931	65	18	1555	18	387	43.1	8.15	3417.42	18	0	388760960	462288352	377895584	502292288	581898624	468320960	1252484352	995229632	894408256	1064397120	1035833024	935199744
"IsMasterProtein"	"Q9C0C2"	"182 kDa tankyrase-1-binding protein OS=Homo sapiens OX=9606 GN=TNKS1BP1 PE=1 SV=4"	0	"FALSE"	103.074	15	18	157	18	1729	181.7	4.86	278.88	18	0	16953188	24179588	19931452	10555251	12093833	14622069	2464575.25	1527746.875	2374188.25	7949650.5	10181754	11143820
"IsMasterProtein"	"Q9BWV1"	"Brother of CDO OS=Homo sapiens OX=9606 GN=BOC PE=1 SV=1"	0	"FALSE"	142.848	26	18	495	18	1114	121	7.01	1259.34	18	0	89973144	76458392	83007752	225553856	227009232	251576400	62193736	55139860	45907200	166836688	164125024	166369616
"IsMasterProtein"	"Q0V8M9"	"TREMBL:Q0V8M9;Q9TRI0 (Bos taurus) similar to inter-alpha (globulin) inhibitor H3 isoform 2"	0	"TRUE"	134.273	28	18	347	18	891	99.5	5.96	755.44	18	0	43612056	27147732	119412496	19659806	21573078	20232390	16288470	43207104	8778821	52233760	83520400	102159824
"IsMasterProtein"	"Q7Z304"	"MAM domain-containing protein 2 OS=Homo sapiens OX=9606 GN=MAMDC2 PE=1 SV=3"	0	"FALSE"	112.028	29	18	422	18	686	77.5	5.16	809.17	18	0	144335072	104331184	101008552	79042872	91177376	90668072	15476542	18087348	17419994	69100920	75016112	69644712
"IsMasterProtein"	"Q15459"	"Splicing factor 3A subunit 1 OS=Homo sapiens OX=9606 GN=SF3A1 PE=1 SV=1"	0	"FALSE"	97.043	30	18	254	18	793	88.8	5.22	453.24	18	0	33246770	41585632	33920464	35094320	35154636	38396768	16462797	10161890	15113851	24998662	27446332	24468570
"IsMasterProtein"	"Q14240"	"Eukaryotic initiation factor 4A-II OS=Homo sapiens OX=9606 GN=EIF4A2 PE=1 SV=2"	0	"FALSE"	97.198	45	18	361	8	407	46.4	5.48	733.64	18	0	19612358	23534952	24791418	20806380	21176356	16446574	13273387	16040016	15840994	10772833	11171674	10871706
"IsMasterProtein"	"Q3SZ57"	"SWISS-PROT:Q3SZ57 (Bos taurus) Alpha-fetoprotein precursor"	0	"TRUE"	99.57	36	18	518	17	610	68.5	6.29	715.79	18	0	63071276	57773052	140440416	104123392	95829160	65657912	48873076	101654200	39398108	102440336	124343656	150332160
"IsMasterProtein"	"P13797"	"Plastin-3 OS=Homo sapiens OX=9606 GN=PLS3 PE=1 SV=4"	0	"FALSE"	85.119	32	18	252	16	630	70.8	5.6	391.16	18	2	20312730	24999330	24993034	31523712	29675706	26275828	22109508	19274972	25427746	22452324	28175462	24440958
"IsMasterProtein"	"Q96RS6"	"NudC domain-containing protein 1 OS=Homo sapiens OX=9606 GN=NUDCD1 PE=1 SV=2"	0	"FALSE"	119.052	44	18	705	18	583	66.7	5.11	1510.14	18	0	99275312	104421616	114937528	41187680	46092516	50878208	49399848	69252640	70797968	59870096	62899588	70086720
"IsMasterProtein"	"P08758"	"Annexin A5 OS=Homo sapiens OX=9606 GN=ANXA5 PE=1 SV=2"	0	"FALSE"	122.636	68	18	503	17	320	35.9	5.05	1050.96	18	1	115119088	129700144	116098000	164495152	147216144	136039824	111982000	94989264	113661848	60682788	69151416	68023040
"IsMasterProtein"	"P48643"	"T-complex protein 1 subunit epsilon OS=Homo sapiens OX=9606 GN=CCT5 PE=1 SV=1"	0	"FALSE"	80.653	38	18	212	18	541	59.6	5.66	359.93	18	0	25437066	25911506	24724046	51758008	52474544	45423120	19845438	18764320	17110318	27921046	28692168	31874626
"IsMasterProtein"	"P08581"	"Hepatocyte growth factor receptor OS=Homo sapiens OX=9606 GN=MET PE=1 SV=4"	0	"FALSE"	94.046	16	18	293	18	1390	155.4	7.33	411.75	18	0	110817000	109510256	118982560	100154816	111586424	87181432	175470720	166016736	207723440	172377584	129036024	104425048
"IsMasterProtein"	"P62258"	"14-3-3 protein epsilon OS=Homo sapiens OX=9606 GN=YWHAE PE=1 SV=1"	0	"FALSE"	143.918	69	18	1751	16	255	29.2	4.74	3337.69	18	0	217668352	205312944	180673296	441690624	458849792	358529088	224062192	180834992	206699728	181281232	183660464	230065488
"IsMasterProtein"	"Q9Y6L7"	"Tolloid-like protein 2 OS=Homo sapiens OX=9606 GN=TLL2 PE=1 SV=1"	0	"FALSE"	86.347	21	18	256	11	1015	113.5	5.94	620.77	18	1	15725939	14295013	13800307	8482410	10922540	10404188	14268689	10874547	9519469	27998716	29217818	24908712
"IsMasterProtein"	"P38606"	"V-type proton ATPase catalytic subunit A OS=Homo sapiens OX=9606 GN=ATP6V1A PE=1 SV=2"	0	"FALSE"	89.857	30	17	402	17	617	68.3	5.52	688.89	17	0	41651808	55576680	44842804	30342360	37761700	31867572	29638930	35170532	45150108	39290136	40156588	40676552
"IsMasterProtein"	"P41361"	"SWISS-PROT:P41361 (Bos taurus) Antithrombin-III precursor"	0	"TRUE"	81.306	40	17	349	17	465	52.3	7.33	545.1	17	0	110389088	80014160	208879808	132420576	137934464	99504024	70962096	156334496	51859312	207793792	242805120	293494240
"IsMasterProtein"	"P19367"	"Hexokinase-1 OS=Homo sapiens OX=9606 GN=HK1 PE=1 SV=3"	0	"FALSE"	66.378	21	17	161	17	917	102.4	6.8	283.4	17	0	34914900	36160836	34849700	29127390	29088420	29583096	27924688	22778692	25105510	27611562	29003184	23734596
"IsMasterProtein"	"O75054"	"Immunoglobulin superfamily member 3 OS=Homo sapiens OX=9606 GN=IGSF3 PE=2 SV=3"	0	"FALSE"	104.736	19	17	239	17	1194	135.1	6.07	442.57	17	0	19035710	16541672	15815462	14534077	14354040	15457596	10852636	12221510	9849321	20719554	22601970	21894610
"IsMasterProtein"	"P48723"	"Heat shock 70 kDa protein 13 OS=Homo sapiens OX=9606 GN=HSPA13 PE=1 SV=1"	0	"FALSE"	142.948	40	17	874	17	471	51.9	5.76	1629.37	17	0	147582656	188861952	160021440	216399136	206231696	219798448	278272480	233066336	210833952	193239264	164848960	176522096
